Title,Views,Notes
"Bark Beetle-caused Tree Mortality for the Stanley, Idaho Study Area",4,"University of Idaho —
The downloadable ZIP file contains a georeferenced TIF. This raster layer is a supervised maximum likelihood classification of bark beetle-caused tree mortality based..."
Community Actions Tracker,2,"U.S. Environmental Protection Agency —
A database application that tracks projects and milestones for any environmental work associated with Communities and aligned with the Agency's priorities."
Patent Grant Multi-Page PDF Images (1790 - Present),1,"Department of Commerce —
Contains the images of each patent grant issued weekly (Tuesdays) from July 31, 1790 to present in Portable Document Format (PDF) created from the Patent Grant..."
Speed Test API - By Geography Type and Geography Name,3,"Department of Commerce —
This API returns the speed test results for a particular geography type (e.g., state, congressional district) and geography name (e.g., Virginia)."
AP-42 Emissions Factors (WebFIRE),10,"U.S. Environmental Protection Agency —
Emissions factors have long been the fundamental tool in developing national, regional, state, and local emissions inventories for air quality management decisions..."
Liquids pipeline projects database,22,"Department of Energy —
EIA launched a new liquids pipeline projects database that tracks more than 200 pipeline projects for crude oil, hydrocarbon gas liquids (HGL), and other petroleum..."
Patent Maintenance Fee Events (1981 - Present),7,"Department of Commerce —
Contains recorded maintenance fee events for patents granted from September 1, 1981 to present. Each new weekly file is cumulative."
Patent and Trademark Practitioners (Intellectual Property (IP) Agent/Attorney/Abogado/Barrister/Lawyer),9,"Department of Commerce —
Registered patent practitioners are individuals who have passed the USPTO's registration exam and met the qualifications to represent patent applicants before the..."
"Series Information for State and Equivalent Entities National TIGER/Line Shapefiles, Current",11,"U.S. Census Bureau, Department of Commerce —
This is a series-level metadata record. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Monthly Motor Fuel Sales Reported by States: Selected Data from FHWA Monthly Motor Fuel Report,11,"Department of Transportation —
Monthly motor fuel sales reported by states from the U.S. Department of Transportation's Federal Highway Administrations' Monthly Motor Fuel Report, available at:..."
Points of Diversion - Domestic,11,"State of Oregon —
Points of Diversion (POD): Depicts the location of each water right diversion point (POD) and provides basic information about the associated water right. All current..."
Time Series Mortgage Denials By Race,11,"City of Los Angeles —
Dataset contains home mortgage applications denied in LA City, LA County, and California, disaggregated by race. Data pulled from the Consumer Financial Protection..."
2017-18 Washington State CRDC Data - Harassment and Violence,11,"State of Washington —
The Civil Rights Data Collection (CRDC) is a biennial (i.e., every other school year) survey required by the U.S. Department of Education’s (Department) Office for..."
World Magnetic Model 2015,11,"National Oceanic and Atmospheric Administration, Department of Commerce —
The World Magnetic Model is the standard model used by the U.S. Department of Defense, the U.K. Ministry of Defence, the North Atlantic Treaty Organization (NATO) and..."
"TIGER/Line Shapefile, Current, State, Arizona, County Subdivision",11,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Hawaii Division of Aquatic Resources (DAR) Marine Monitoring Sites: West Hawaii,11,"National Oceanic and Atmospheric Administration, Department of Commerce —
The State of Hawaii Department of Land and Natural Resources (DLNR) Division of Aquatic Resources (DAR) is the primary agency responsible for coordinating Hawaii's..."
"TIGER/Line Shapefile, 2023, State, California, Primary and Secondary Roads",11,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Correctional Institutions,11,"State of Oregon —
Jails and Prisons (Correctional Institutions). The Jails and Prisons sub-layer is part of the Emergency Law Enforcement Sector and the Critical Infrastructure..."
Lewis and Clark National Historic Trail Tract and Boundary Data,11,"Department of the Interior —
These ESRI shape files are of National Park Service tract and boundary data that was created by the Land Resources Division. Tracts are numbered and created by the..."
SHIP Emergency Department Visit Rate Due To Diabetes 2008-2017,11,"State of Maryland —
This is historical data. The update frequency has been set to ""Static Data"" and is here for historic value. Updated on 8/14/2024 Emergency Department Visit Rate Due..."
"Community Colleges - Budget, Revenue, Expenditure - Detail Data",11,"State of Oregon —
The Community College Financial Information System or CCFIS assists community colleges with compliance with ORS 341.670, which sets out guidelines for reporting of..."
Respiratory Virus Dashboard Metrics,11,"State of California —
Note: On April 30, 2024, the Federal mandate for COVID-19 and influenza associated hospitalization data to be reported to CDC’s National Healthcare Safety Network..."
MTA Subway Origin-Destination Ridership Estimate: 2022,11,"State of New York —
This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return swipe data. It provides estimated passenger volumes for all..."
Import/Export Price Indices,11,"U.S. Department of Labor Bureau of Labor Statistics —
The International Price Program (IPP) produces Import/Export Price Indexes (MXP) containing data on changes in the prices of nonmilitary goods and services traded..."
Public List of LAT-Detected Gamma-Ray Pulsars,11,"National Aeronautics and Space Administration —
The following is a compilation of all publicly-announced gamma-ray pulsars detected using the Fermi LAT. Each of the detections has been vetted by the LAT team,..."
"Integrated Postsecondary Education Data System, 2013-14",11,"Department of Education —
The Integrated Postsecondary Education Data System, 2013-14 (IPEDS 2013-14), was a study that was part of the Integrated Postsecondary Education Data System (IPEDS)..."
Additive Manufacturing Benchmark Test Series (AM-Bench) 2018 Test Descriptions,11,"National Institute of Standards and Technology —
The Additive Manufacturing Benchmark Test Series (AM-Bench) is developing a continuing series of controlled benchmark tests, in conjunction with a conference series,..."
Investigation of Microplastics Deposition in Remote Areas of the Great Smoky Mountains National Park.,11,"Department of the Interior —
A microplastic deposition collection device (MDCD) will be set up at Noland Divide, Elkmont, and UT. The samples will be collected every week over the duration of a..."
Product Data for Newly Reported Drugs in the Medicaid Drug Rebate Program 02-17-2025-to-02-23-2025,11,"U.S. Department of Health & Human Services —
The data below contains newly reported, active covered outpatient drugs which were reported by participating drug manufacturers since the last quarterly update of the..."
